#{"t_start": 1658422774.1500745, "env_id": "A1GymEnv-v1"}
r,l,t
-1054.0,9,0.541508
-1088.0,17,0.604448
-1086.0,13,0.645153
-1060.0,11,0.679055
-1024.0,4,0.691902
-1062.0,10,0.725282
-1040.0,6,0.747944
-1118.0,17,0.800395
-1080.0,11,0.834166
-1040.0,6,0.852724
-1080.0,11,0.886602
-1088.0,12,0.922551
-1088.0,12,0.959224
-1192.0,25,1.035432
-1128.0,17,1.089057
-1040.0,6,1.107682
-1050.0,11,1.142176
-1024.0,4,1.156577
-1152.0,20,1.215734
-1062.0,10,1.250194
-1120.0,16,1.298197
-1056.0,8,1.322743
-1088.0,12,1.359161
-1056.0,8,1.383795
-1032.0,5,1.400204
-1048.0,7,1.42214
-1104.0,14,1.466325
-1120.0,16,1.51562
-1022.0,5,1.531424
-1092.0,15,1.578677
-1100.0,16,1.6393
-1038.0,7,1.66224
-1016.0,3,1.672434
-1064.0,9,1.70106
-1056.0,8,1.726968
-1024.0,4,1.740682
-1140.0,21,1.806069
-1070.0,11,1.841447
-1008.0,2,1.848323
-1068.0,12,1.886068
-1048.0,7,1.908102
-1100.0,16,1.962475
-1052.0,10,1.994222
-1078.0,12,2.030095
-1032.0,5,2.045915
-1088.0,12,2.082069
-1024.0,4,2.095224
-1048.0,7,2.124923
-1032.0,5,2.144624
-1088.0,12,2.181592
-1056.0,8,2.207798
-1056.0,8,2.233566
-1048.0,7,2.259386
-1100.0,16,2.307032
-1060.0,11,2.340415
-1032.0,5,2.35684
-1040.0,6,2.37569
-1112.0,15,2.419887
-1120.0,16,2.467565
-1046.0,8,2.49369
-1040.0,6,2.513388
-1040.0,6,2.532767
-1120.0,16,2.581478
-1048.0,7,2.603149
-1032.0,5,2.62877
-1118.0,17,2.68994
-1040.0,6,2.709301
-1046.0,8,2.733812
-1032.0,5,2.749513
-1008.0,2,2.756258
-1072.0,10,2.785798
-1056.0,8,2.811157
-1040.0,6,2.833297
-1164.0,24,2.907447
-1048.0,7,2.932186
-1054.0,9,2.96102
-1048.0,7,2.98303
-1176.0,28,3.07002
-1046.0,8,3.094876
-1024.0,4,3.10813
-1024.0,4,3.1213
-1024.0,4,3.134759
-1062.0,10,3.167944
-1040.0,6,3.187146
-1016.0,3,3.196747
-1120.0,16,3.245517
-1040.0,6,3.264059
-1096.0,18,3.31733
-1062.0,10,3.347777
-1216.0,28,3.429992
-1048.0,7,3.451687
-1040.0,6,3.470198
-1056.0,8,3.494839
-1064.0,9,3.522186
-1032.0,5,3.538951
-1080.0,11,3.575999
-1032.0,5,3.593678
-1008.0,2,3.601184
-1112.0,15,3.668631
-1072.0,15,3.718382
-1016.0,3,4.022987
-1016.0,3,4.033647
-1040.0,6,4.05314
-1008.0,2,4.060143
-1008.0,2,4.066858
-1032.0,5,4.082481
-1072.0,10,4.113793
-1070.0,11,4.150839
-1072.0,10,4.181931
-1016.0,3,4.192188
-1016.0,3,4.202202
-1040.0,6,4.221373
-1064.0,9,4.249979
-1144.0,19,4.307378
-1130.0,21,4.37449
-1068.0,12,4.411318
-1030.0,6,4.429795
-1112.0,15,4.475922
-1074.0,14,4.519675
-1048.0,7,4.5445
-1040.0,6,4.563602
-1038.0,7,4.585058
-1048.0,7,4.607542
-1208.0,32,4.728882
-1088.0,12,4.767576
-1072.0,10,4.798227
-1032.0,5,4.815108
-1142.0,20,4.877598
-1054.0,9,4.906735
-1072.0,10,4.94013
-1040.0,6,4.959169
-1148.0,22,5.025525
-1016.0,3,5.035417
-1038.0,7,5.058117
-1024.0,4,5.071224
-1126.0,18,5.126086
-1046.0,8,5.153398
-1184.0,24,5.226611
-1032.0,5,5.244039
-1078.0,12,5.283523
-1062.0,10,5.314141
-1182.0,25,5.39133
-1016.0,3,5.401772
-1102.0,15,5.448006
-1064.0,9,5.475313
-1094.0,14,5.518421
-1178.0,27,5.606839
-1040.0,6,5.626976
-1096.0,13,5.668718
-1152.0,20,5.739535
-1112.0,15,5.785898
-1062.0,10,5.817472
-1032.0,5,5.837001
-1046.0,8,5.862887
-1136.0,18,5.918716
-1102.0,15,5.96562
-1056.0,8,5.991262
